(17200, 	99357)
(16200, 	8928)
(14500, 	99357)
(14300, 	32801)
(23100, 	28463)
(24900, 	7727)
(14500, 	64690)
(14300, 	94814)
(14200, 	63257)
(14200, 	49025)
(14100, 	43679)
(14300, 	11619)
(14200, 	9719)
(14200, 	32801)
(14200, 	51783)
(14800, 	83398)
(14200, 	4178)
(14100, 	92371)
(22800, 	21787)
(14800, 	89014)
(14500, 	43873)
(18600, 	37657)
(14300, 	53049)
(14100, 	40065)
(14300, 	77365)
(22200, 	45463)
(14500, 	51586)
(14300, 	2969)
(14100, 	39184)
(14600, 	59018)
(14200, 	23788)
(14300, 	66474)
(14200, 	44705)
(14600, 	128)
(14600, 	55924)
(14700, 	61709)
(14800, 	137)
(17600, 	80389)
(14400, 	36793)
(14400, 	99999)
(19900, 	62411)
(14200, 	59531)
(13900, 	11619)
(14200, 	73526)
(14400, 	93713)
(14200, 	5535)
(15600, 	67980)
(14500, 	53162)
(14400, 	47202)
(14400, 	79877)
(14400, 	80101)
(14500, 	43132)
(14700, 	11189)
(14400, 	81577)
(14200, 	24335)
(14300, 	95677)
(14600, 	41266)
(14500, 	9832)
(14300, 	85988)
(13800, 	74531)
(14000, 	69234)
(14100, 	70662)
(14300, 	5953)
(14400, 	128)
(14100, 	40797)
(14100, 	36938)
(20400, 	32158)
(14300, 	62116)
(20600, 	62414)
(14500, 	88914)
(14300, 	85)
(14300, 	35566)
(14200, 	51282)
(14300, 	501)
(14600, 	69295)
(14400, 	46620)
(14400, 	1107)
(14500, 	65310)
(14100, 	9426)
(14400, 	82680)
(14300, 	83203)
(14300, 	79294)
(14400, 	47290)
(14300, 	49598)
(14100, 	72125)
(18700, 	82636)
(14900, 	2535)
(14300, 	53339)
(14400, 	45463)
(14300, 	91720)
(14200, 	97803)
(14200, 	24170)
(14200, 	67829)
(14300, 	91720)
(14000, 	28463)
(14200, 	2904)
(14000, 	53294)
(14100, 	83533)
(14300, 	61446)
(20000, 	41266)
(14600, 	74296)
(14000, 	84142)
(20300, 	82680)
(14200, 	16647)
(14200, 	24983)
(14300, 	43815)
(14100, 	78048)
(14300, 	12673)
(14100, 	16693)
(14300, 	62104)
(14100, 	42943)
(14400, 	90827)
(14300, 	38757)
(14300, 	8310)
(14200, 	37460)
(14200, 	86730)
(18700, 	82809)
(14500, 	84252)
(14100, 	8880)
(17700, 	10305)
(14900, 	36845)
(23700, 	2904)
(14500, 	42943)
(14600, 	56274)
(14500, 	36910)
(14300, 	99288)
(14300, 	70452)
(14600, 	80101)
(13400, 	69234)
(14600, 	79294)
(14400, 	41055)
(14200, 	58078)
(14400, 	69115)
(14400, 	30651)
(14400, 	82809)
(22300, 	14900)
(14200, 	36523)
(14300, 	78203)
(14400, 	38322)
(14300, 	12673)
(14400, 	62353)
(14500, 	88767)
(14300, 	81001)
(14600, 	94559)
(14400, 	8765)
(14100, 	45319)
(14300, 	97221)
(14400, 	1082)
(14100, 	38245)
(14100, 	49598)
(14300, 	90053)
(14400, 	44705)
(14300, 	25887)
(14400, 	22489)
(14400, 	16647)
(14500, 	88743)
(19600, 	7727)
(14600, 	71994)
(14300, 	61972)
(14300, 	36845)
(14400, 	44322)
(14300, 	67098)
(14400, 	22180)
(14300, 	54199)
(14300, 	85516)
(4100, 	29877)
(22700, 	48342)
(14500, 	58979)
(14400, 	61205)
(14400, 	62874)
(14500, 	93253)
(24700, 	29087)
(15100, 	4825)
(16400, 	94842)
(15000, 	66243)
(14800, 	46432)
(14500, 	68066)
(24500, 	11619)
(14300, 	93254)
(14400, 	12992)
(14400, 	43721)
(14100, 	11018)
(14400, 	30506)
(13600, 	39383)
(14900, 	36880)
(14300, 	64796)
(14400, 	48342)
(14300, 	15848)
(22400, 	25887)
(14400, 	94420)
(14000, 	13762)
(14200, 	26572)
(9000, 	68066)
(13400, 	25541)
(2200, 	55400)
(13600, 	52626)
(2500, 	40929)
(13600, 	10093)
(1900, 	69441)
(13500, 	13653)
(1900, 	14913)
(13600, 	70430)
(1900, 	24800)
(13500, 	87415)
(3600, 	49966)
(13300, 	43047)
(2200, 	24411)
(21500, 	96337)
(3400, 	45163)
(13600, 	8001)
(2000, 	73559)
(13500, 	38245)
(1800, 	81981)
(13600, 	77997)
(1800, 	92371)
(13600, 	41129)
(1900, 	71859)
(13500, 	83398)
(1800, 	4239)
(13800, 	19426)
(2100, 	18454)
(13700, 	62702)
(1800, 	69543)
(13700, 	33296)
(1900, 	55337)
(9100, 	32155)
(6300, 	24889)
(13800, 	10324)
(2100, 	66243)
(13500, 	21787)
(1900, 	16000)
(13400, 	14115)
(1800, 	52849)
(13500, 	71133)
(1800, 	38538)
(13500, 	46158)
(2000, 	84307)
(13600, 	99248)
(1800, 	12673)
(13500, 	16292)
(1800, 	35382)
(13700, 	79188)
(1800, 	26107)
(13500, 	2646)
(1800, 	39184)
(13600, 	38606)
(1900, 	99851)
(13400, 	31967)
(1800, 	58078)
(13500, 	8504)
(1800, 	71133)
(13300, 	84019)
(1900, 	17337)
(13600, 	53414)
(1800, 	81199)
(14400, 	34715)
(3000, 	59451)
(13600, 	2633)
(2500, 	98752)
(13400, 	18326)
(2000, 	31465)
(13700, 	76237)
(2000, 	36938)
(13900, 	41275)
(2000, 	74661)
(13500, 	36880)
(3500, 	41967)
(5000, 	20278)
(13700, 	65984)
(13600, 	94831)
(1900, 	46948)
(13600, 	80389)
(1900, 	79927)
(13700, 	80615)
(2000, 	92501)
(13600, 	3495)
(1800, 	99913)
(13600, 	35566)
(1700, 	8001)
(13600, 	37460)
(1800, 	58804)
(13500, 	2335)
(1900, 	4426)
(13600, 	10953)
(3200, 	86730)
(23800, 	90785)
(3900, 	24170)
(22200, 	99288)
(4600, 	57500)
(13400, 	94634)
(2400, 	16752)
(22200, 	23784)
(3900, 	40538)
(13600, 	53294)
(2000, 	59270)
(13700, 	8634)
(1900, 	42095)
(13600, 	84539)
(11100, 	91704)
(13900, 	44350)
(2000, 	5535)
(13600, 	79927)
(1800, 	95599)
(13500, 	72642)
(1700, 	95678)
(13600, 	15934)
(1800, 	69295)
(13600, 	2335)
(298600, 	88574)
(14100, 	54755)
(21100, 	37329)
(23200, 	47289)
(23200, 	58078)
(21300, 	5262)
(22600, 	33060)
(14800, 	11296)
(14400, 	29413)
(14500, 	62411)
(14800, 	4426)
(14600, 	93483)
(14300, 	92054)
(14300, 	40639)
(14300, 	18919)
(14300, 	61950)
(14300, 	32801)
(14500, 	52742)
(14400, 	80101)
(14100, 	74531)
(14400, 	13762)
(13900, 	3027)
(4200, 	29421)
(14400, 	75446)
(14200, 	10935)
(11600, 	87586)
(14300, 	87415)
(14400, 	32059)
(14500, 	93623)
(14200, 	21787)
(14300, 	3708)
(14100, 	43047)
(14400, 	76255)
(14200, 	43815)
(14500, 	91353)
(14600, 	58979)
(14400, 	44302)
(14400, 	23690)
(14200, 	89014)
(14600, 	4353)
(14500, 	29413)
(14400, 	4353)
(14400, 	79177)
(14200, 	54166)
(14400, 	11191)
(14300, 	62874)
(14000, 	7525)
(14400, 	40019)
(13600, 	39383)
(13900, 	63720)
(13800, 	46432)
(14300, 	23455)
(14000, 	26893)
(14200, 	24889)
(31100, 	62874)
(14700, 	25541)
(14300, 	56690)
(11100, 	1112)
(25700, 	90284)
(15200, 	32135)
(14300, 	6151)
